iter	Passed	Remaining
0	152	152689
1	156	77918
2	159	53051
3	163	40618
4	166	33141
5	169	28137
6	173	24560
7	176	21941
8	179	19731
9	181	17969
10	183	16507
11	185	15258
12	187	14198
13	188	13295
14	190	12497
15	191	11790
16	193	11165
17	194	10609
18	195	10111
19	196	9652
20	198	9239
21	199	8861
22	200	8515
23	201	8199
24	202	7914
25	203	7637
26	204	7381
27	205	7145
28	206	6923
29	207	6715
30	208	6520
31	209	6335
32	210	6162
33	211	5998
34	211	5843
35	212	5697
36	213	5559
37	214	5428
38	215	5304
39	216	5185
40	216	5074
41	217	4967
42	218	4865
43	219	4767
44	220	4673
45	221	4584
46	221	4498
47	222	4417
48	223	4338
49	224	4262
50	225	4189
51	225	4119
52	226	4051
53	227	3986
54	228	3922
55	229	3862
56	230	3805
57	230	3748
58	231	3695
59	232	3641
60	233	3590
61	234	3540
62	234	3493
63	235	3446
64	236	3401
65	237	3357
66	238	3314
67	238	3268
68	239	3229
69	240	3190
70	240	3152
71	241	3115
72	242	3080
73	243	3047
74	244	3014
75	245	2982
76	246	2949
77	246	2918
78	247	2887
79	248	2857
80	249	2828
81	250	2800
82	250	2773
83	251	2746
84	252	2717
85	253	2691
86	253	2663
87	254	2639
88	255	2615
89	256	2590
90	257	2568
91	259	2562
92	260	2543
93	261	2525
94	263	2506
95	264	2486
96	265	2467
97	266	2448
98	267	2430
99	268	2412
100	269	2394
101	269	2372
102	270	2354
103	271	2337
104	272	2320
105	273	2302
106	273	2285
107	274	2268
108	275	2251
109	276	2234
110	276	2218
111	277	2202
112	278	2186
113	279	2171
114	280	2155
115	280	2139
116	281	2125
117	282	2110
118	283	2095
119	283	2081
120	284	2068
121	285	2055
122	286	2039
123	286	2026
124	287	2013
125	288	2000
126	289	1988
127	289	1973
128	290	1961
129	291	1949
130	292	1938
131	292	1926
132	293	1914
133	294	1903
134	295	1892
135	296	1881
136	296	1870
137	297	1859
138	298	1848
139	299	1838
140	300	1828
141	300	1818
142	301	1808
143	302	1798
144	303	1788
145	304	1779
146	304	1769
147	305	1760
148	306	1750
149	307	1741
150	308	1732
151	308	1723
152	309	1714
153	310	1706
154	311	1697
155	312	1689
156	313	1682
157	314	1674
158	314	1665
159	315	1657
160	316	1649
161	317	1641
162	318	1633
163	318	1625
164	319	1618
165	320	1610
166	321	1603
167	322	1595
168	322	1588
169	323	1580
170	324	1573
171	325	1566
172	326	1559
173	327	1552
174	327	1545
175	328	1538
176	329	1532
177	330	1525
178	331	1518
179	331	1511
180	332	1503
181	333	1497
182	333	1490
183	334	1484
184	335	1477
185	336	1471
186	337	1465
187	337	1459
188	338	1453
189	339	1447
190	340	1441
191	341	1436
192	342	1431
193	343	1426
194	344	1420
195	345	1415
196	346	1410
197	346	1405
198	347	1400
199	348	1394
200	349	1389
201	350	1383
202	351	1378
203	351	1373
204	352	1367
205	353	1362
206	354	1357
207	355	1352
208	355	1346
209	356	1341
210	357	1336
211	358	1331
212	359	1326
213	359	1321
214	360	1316
215	361	1312
216	362	1307
217	363	1302
218	363	1297
219	364	1292
220	365	1287
221	366	1283
222	366	1278
223	368	1275
224	369	1271
225	370	1267
226	370	1263
227	371	1259
228	372	1255
229	374	1252
230	375	1248
231	376	1245
232	377	1241
233	378	1238
234	379	1234
235	380	1230
236	380	1226
237	381	1221
238	382	1217
239	383	1213
240	383	1209
241	384	1205
242	385	1200
243	386	1196
244	387	1192
245	387	1188
246	388	1184
247	389	1180
248	390	1177
249	391	1173
250	391	1169
251	392	1165
252	393	1161
253	394	1157
254	395	1154
255	395	1150
256	396	1146
257	397	1142
258	398	1139
259	398	1135
